Participants #,inital magnification(mm),height,width,aperture,max aperture,brightness,exposure bias,focal length,make,model,exposure time,fnumber,field of view,field of view(arcminute),arcminute degree in each pixel,observation point(latitude),observation point(longitude),observation point(altitude),observation point(relative height(feet)),observation point(relative height(arcminute)),observation point(width(feet)),observation point(width(arcminute)),target location(latitude),target location(longitude),target location(altitude),target location(relative height(feet)),target location(relative height(arcminute),target location(width(feet)),target location(width(arcminute))
28066,300,3456,5184,5.375,None,None,0.0,100.0,Canon,Canon EOS REBEL T3i,0.004,6.3,12.724401538998091,763.4640923398855,0.14727316596062606,37.417,-122.18,284.405,0,0,0,0,37.428,-122.167,81.093,81.687,51.977,39.0,24.817
28066,75,3456,5184,5.375,None,None,0.0,85.0,Canon,Canon EOS REBEL T3i,0.003125,6.3,14.946377375187955,896.7826425112773,0.1729904788794902,37.417,-122.18,284.405,0,0,0,0,37.428,-122.167,81.093,81.687,51.977,39.0,24.817
